,Irradiation_W,Price,CONSUMPTION
2338,851.83,52.0,3816.714780741242
2339,936.83,59.1,3929.339151320492
2340,957.54,55.9,3503.8693069099927
2341,902.0,55.0,4817.82029700124
2342,781.85,51.0,3941.852970273742
2343,606.6,51.0,3679.062772255492
2344,389.47,65.0,2915.719816107244
2345,175.23,77.2,3904.311513413992
2346,0.0,73.0,3528.8969448164926
2347,0.0,67.43,5593.677072102738
2348,0.0,59.88,5230.776322458489
2349,0.0,52.0,5280.8315982714885
2350,0.0,56.8,5768.870537448238
2351,0.0,51.7,3629.007496442493
2352,0.0,52.7,3216.051470985243
2353,0.0,52.3,2615.3881612292444
2354,0.0,53.0,2953.2612729669936
2355,0.0,56.0,2377.625601117495
2356,0.0,62.5,2365.1117821642447
2357,0.0,67.0,2277.515049491496
2358,88.64,75.8,2365.1117821642447
2359,296.07,72.8,2815.6092644812443
2360,524.26,75.0,4942.95848653374
2361,710.09,71.0,3040.858005639744
2362,859.76,66.0,3266.106746798243
2363,949.6,66.0,2878.178359247494
2364,976.12,57.8,3941.852970273742
2365,919.43,55.8,5018.04140025324
2366,792.21,51.0,9560.55768028298
2367,612.21,56.9,4167.101711432241
2368,403.1,75.0,3466.3278500502424
2369,179.65,86.0,4092.018797712741
2370,0.0,82.0,5143.179589785739
2371,0.0,80.2,6469.644398830236
2372,0.0,65.0,14215.69833089197
2373,0.0,61.0,10524.121739683227
2374,0.0,64.4,8847.269999947732
2375,0.0,57.4,6945.169519053736
2376,0.0,57.4,4179.615530385491
2377,0.0,57.4,2552.8190664629947
2378,0.0,56.0,2502.763790649995
2379,0.0,55.0,2627.9019801824948
2380,0.0,57.15,2527.7914285564943
2381,0.0,57.85,2577.8467043694945
2382,80.06,62.1,2590.3605233227445
2383,280.69,65.0,4705.19592642199
2384,501.8,72.0,5793.898175354738
2385,702.46,69.0,4066.9911598062417
2386,844.79,70.0,2928.2336350604937
2387,921.44,71.0,2677.957255995494
2388,957.77,60.0,2853.150721340994
2389,892.58,54.0,4229.670806198491
2390,706.3,55.2,4880.3893917674895
